arabic,amazigh,latin,plural,latinplural,origin
كلب,أغرزول/آيذي,Aydhi/Agherzoul,إغرزال/إيضان,idhan/igherzal,خنشلة/أم البواقي
جرو,آڤزين,Agzine,إڤزينن,igzinan,خنشلة/أم البواقي
كسرة,آغروم,Aghroum,إغرمان,igherman,خنشلة/أم البواقي
حجر,آحذير/إرصاف/آسڤريو,Asagriw/irsaf/Ahdhir,إحذيرن/ إرصافن/ إسڤرا,issagra/irsafn/ihdhirn,خنشلة/سوق نعمان/أم البواقي
شمس,أفوكث,Afoukath,ليس لها جمع,no plural,كل المناطق
مطر,أمـثـنـى,Amathna,ليس لها جمع,no plural,خنشلة
واحد,إشت,icht,ليس لها جمع,no plural,كل المناطق
إثنان,سن,sen,ليس لها جمع,no plural,كل المناطق
ثلاثة,كراض,kradh,ليس لها جمع,no plural,كل المناطق
أربعة,كوز,kouz,ليس لها جمع,no plural,كل المناطق
خمسة,سموس,smous,ليس لها جمع,no plural,كل المناطق
ستة,سديس,sdis,ليس لها جمع,no plural,كل المناطق
سبعة,سا,saa,ليس لها جمع,no plural,كل المناطق
ثمانية,تام,tem,ليس لها جمع,no plural,كل المناطق
تسعة,تـزا,tza,ليس لها جمع,no plural,كل المناطق
عشرة,مراو,mraw,ليس لها جمع,no plural,كل المناطق
